1,20,19,8,2
1,11,13,35,16,31,30,32,5
1,15,5
2,20,19,8,2
2,11,13,35,16,3,30,32,5
2,15,6,34,2
3,20,19,8,2
3,11,13,35,16,3,30,32,5
3,15,6,34,2,8,19,1
4,20,19,8,2
4,11,13,25,29,0
4,15,5
5,20,19,8,26,2
5,11,13,35,16,3,31,30,32,5
5,15,6,5
6,20,19,8,26,2
6,11,13,35,16,3,30,32,5
6,15,6,5
7,20,19,8,26,2
7,11,13,25,29,0
7,15,6,5
8,20,19,8,26,2
8,11,13,25,29,0
8,15,6,34,2,26,28,1
9,20,19,8,26,2
9,11,13,12,16,3,31,30,32,5
9,15,6,34,2
10,20,19,8,26,2
10,11,13,25,29,0
10,15,6,5
11,20,19,8,2
11,11,13,25,29,0
11,15,6,32,30,31,3,17,33,0
12,20,19,8,2
12,11,13,12,16,3,31,30,32,5
12,15,6,32,30,31,3,17,33,0
13,20,19,8,2
13,11,13,12,16,3,31,30,32,5
13,15,34,2
14,20,19,21,2
14,11,13,25,29,0
14,15,6,5
15,20,19,8,21,2
15,11,13,25,29,0
15,15,34,2,21,19,1
16,20,19,8,21,2
16,11,13,25,29,0
16,15,34,2
17,20,19,8,21,2
17,11,13,25,29,0
17,15,34,2,21,19,1
18,20,19,8,21,2
18,11,13,25,29,0
18,15,34,2
19,20,19,8,21,2
19,11,13,25,29,0
19,15,6,5
20,20,19,8,21,2
20,11,13,25,29,0
20,15,6,5
21,20,19,8,21,2
21,11,13,25,29,0
21,15,6,5
22,20,19,8,21,2
22,11,13,25,29,0
22,15,6,5
23,20,19,8,21,2
23,11,13,25,0
23,15,34,2
24,20,19,8,21,2
24,11,13,35,12,16,3,31,32,5
24,15,6,5
25,20,19,8,21,2
25,11,13,25,0
25,15,34,2
26,20,19,8,21,2
26,11,13,35,12,16,3,31,32,5
26,15,6,32,31,3,17,33,0
27,20,19,26,21,2
27,11,13,22,28,8,21,2
27,15,6,5,32,31,3,17,33,0
28,20,19,26,21,2
28,11,9,1
28,15,6,5
29,20,19,21,2
29,11,9,1
29,15,34,2
30,20,19,21,2
30,11,9,28,8,21,2
30,15,6,5
