1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,0
1,26,1
1,25,2
1,29,0
1,26,1
1,25,2
1,29,0
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,16,1
1,26,1
