1,23,2
1,7,2
1,33,7,2
2,23,2
2,7,2
2,33,7,2
3,23,2
3,7,2
3,33,7,2
4,23,2
4,7,2
4,33,7,2
5,23,2
5,7,2
5,33,7,2
6,23,2
6,7,2
6,33,7,2
7,23,2
7,7,2
7,33,23,2
8,23,2
8,7,23,2
8,33,23,2
9,23,2
9,7,23,2
9,33,23,2
10,23,2
10,7,23,2
10,33,23,2
11,23,2
11,7,23,2
11,33,23,2
12,23,7,26,8,24,1
12,7,23,2
12,33,23,2
13,23,2
13,7,26,12,24,1
13,33,23,2
14,23,2
14,7,23,2
14,33,23,2
15,23,33,26,8,24,1
15,7,23,2
15,33,23,2
16,23,33,26,24,9,5
16,7,12,24,1
16,33,23,2
17,23,17,26,24,9,5
17,7,12,24,1
17,33,23,2
18,23,17,7,26,8,9,5
18,7,17,23,4,2
18,33,7,26,24,1
19,23,17,7,26,8,9,5
19,7,26,24,1
19,33,23,2
20,23,17,7,26,24,9,5
20,7,26,24,9,1
20,33,23,32,2
21,23,32,2
21,7,26,24,9,5
21,33,23,32,2
22,23,17,7,24,9,5
22,7,24,9,5
22,33,23,32,2
23,23,17,7,24,9,5
23,7,24,9,5
23,33,23,2
24,23,7,24,9,1
24,7,24,9,5
24,33,23,32,2
25,23,32,2
25,7,23,32,2
25,33,17,7,24,9,5
26,23,4,2
26,7,26,9,1
26,33,17,7,24,9,5
27,23,7,24,9,5
27,7,23,4,2
27,33,17,7,24,9,1
28,23,7,26,9,5
28,7,26,9,5
28,33,23,4,2
29,23,7,26,9,1
29,7,26,9,5
29,33,4,2
30,23,2
30,7,23,2
30,33,23,7,26,9,5
