25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
25,0.300000,8,2,5.000000
29,0.300000,8,2,5.000000
26,0.300000,8,2,5.000000
