"seconds_ahp","run","seconds_it","users","speed"
"1",0.012357,"1",0.006127,30,"0"
"2",0.013579,"1",0.004898,30,"0"
"3",0.008447,"1",0.003863,30,"0"
"4",0.006617,"1",0.003663,30,"0"
"5",0.008494,"1",0.006658,30,"0"
"6",0.01376,"1",0.003234,30,"0"
"7",0.007985,"1",0.002461,30,"0"
"8",0.005051,"1",0.002448,30,"0"
"9",0.008644,"1",0.002709,30,"0"
"10",0.007032,"1",0.003343,30,"0"
"11",0.005742,"1",0.00349,30,"0"
"12",0.007635,"1",0.003572,30,"0"
"13",0.00947,"1",0.003521,30,"0"
"14",0.007584,"1",0.003519,30,"0"
"15",0.011933,"1",0.003306,30,"0"
"16",0.010434,"1",0.003472,30,"0"
"17",0.008174,"1",0.003668,30,"0"
"18",0.010464,"1",0.002932,30,"0"
"19",0.012698,"1",0.003236,30,"0"
"20",0.009393,"1",0.003398,30,"0"
"21",0.007509,"1",0.005635,30,"0"
"22",0.013783,"1",0.004759,30,"0"
"23",0.00838,"1",0.003128,30,"0"
"24",0.00658,"1",0.002502,30,"0"
"25",0.006025,"1",0.002539,30,"0"
"26",0.010583,"1",0.003662,30,"0"
"27",0.007941,"1",0.003502,30,"0"
"28",0.007906,"1",0.00323,30,"0"
"29",0.009395,"1",0.003337,30,"0"
"30",0.009089,"1",0.003118,30,"0"
"31",0.011656,"10",0.004111,30,"0"
"32",0.008879,"10",0.003487,30,"0"
"33",0.013722,"10",0.003568,30,"0"
"34",0.00923,"10",0.002522,30,"0"
"35",0.008854,"10",0.003099,30,"0"
"36",0.006167,"10",0.00243,30,"0"
"37",0.011479,"10",0.003129,30,"0"
"38",0.005321,"10",0.002675,30,"0"
"39",0.004449,"10",0.002106,30,"0"
"40",0.005001,"10",0.002116,30,"0"
"41",0.008066,"10",0.002907,30,"0"
"42",0.010436,"10",0.002624,30,"0"
"43",0.008064,"10",0.003307,30,"0"
"44",0.005416,"10",0.002874,30,"0"
"45",0.0048,"10",0.002086,30,"0"
"46",0.010512,"10",0.00301,30,"0"
"47",0.007237,"10",0.00265,30,"0"
"48",0.007659,"10",0.002871,30,"0"
"49",0.005488,"10",0.002725,30,"0"
"50",0.006961,"10",0.002966,30,"0"
"51",0.007632,"10",0.00265,30,"0"
"52",0.008817,"10",0.002805,30,"0"
"53",0.008663,"10",0.002973,30,"0"
"54",0.006402,"10",0.002796,30,"0"
"55",0.008084,"10",0.002714,30,"0"
"56",0.008342,"10",0.002775,30,"0"
"57",0.006298,"10",0.002023,30,"0"
"58",0.013197,"11",0.004981,30,"0"
"59",0.013147,"11",0.007669,30,"0"
"60",0.008458,"11",0.003596,30,"0"
"61",0.006404,"11",0.003331,30,"0"
"62",0.007259,"11",0.003153,30,"0"
"63",0.013514,"11",0.004508,30,"0"
"64",0.008753,"11",0.00268,30,"0"
"65",0.008539,"11",0.002697,30,"0"
"66",0.00519,"11",0.002653,30,"0"
"67",0.006251,"11",0.002703,30,"0"
"68",0.006284,"11",0.002507,30,"0"
"69",0.00862,"11",0.003688,30,"0"
"70",0.010289,"11",0.002642,30,"0"
"71",0.007409,"11",0.004072,30,"0"
"72",0.008356,"11",0.00347,30,"0"
"73",0.007225,"11",0.003757,30,"0"
"74",0.011173,"11",0.003077,30,"0"
"75",0.008166,"11",0.003392,30,"0"
"76",0.007686,"11",0.002867,30,"0"
"77",0.009075,"11",0.00354,30,"0"
"78",0.00624,"11",0.002686,30,"0"
"79",0.008053,"11",0.003842,30,"0"
"80",0.012665,"11",0.004881,30,"0"
"81",0.008467,"11",0.003906,30,"0"
"82",0.006788,"11",0.002628,30,"0"
"83",0.005726,"11",0.002592,30,"0"
"84",0.006461,"11",0.003384,30,"0"
"85",0.006271,"11",0.003107,30,"0"
"86",0.006449,"11",0.002866,30,"0"
"87",0.008087,"11",0.002572,30,"0"
"88",0.014424,"12",0.006516,30,"0"
"89",0.014457,"12",0.006575,30,"0"
"90",0.006274,"12",0.002883,30,"0"
"91",0.00852,"12",0.00296,30,"0"
"92",0.006858,"12",0.00891,30,"0"
"93",0.005775,"12",0.003189,30,"0"
"94",0.011198,"12",0.004613,30,"0"
"95",0.009631,"12",0.003831,30,"0"
"96",0.007179,"12",0.0036,30,"0"
"97",0.006631,"12",0.002229,30,"0"
"98",0.005375,"12",0.002215,30,"0"
"99",0.011207,"12",0.003405,30,"0"
"100",0.008571,"12",0.003222,30,"0"
"101",0.00774,"12",0.002421,30,"0"
"102",0.007213,"12",0.003734,30,"0"
"103",0.012198,"12",0.004732,30,"0"
"104",0.00827,"12",0.003475,30,"0"
"105",0.007417,"12",0.003172,30,"0"
"106",0.007734,"12",0.003448,30,"0"
"107",0.008798,"12",0.002533,30,"0"
"108",0.006867,"12",0.002705,30,"0"
"109",0.010323,"12",0.004397,30,"0"
"110",0.006423,"12",0.002389,30,"0"
"111",0.005016,"12",0.00213,30,"0"
"112",0.009125,"12",0.003727,30,"0"
"113",0.008231,"12",0.003334,30,"0"
"114",0.008709,"12",0.003419,30,"0"
"115",0.009387,"12",0.003801,30,"0"
"116",0.010467,"12",0.003452,30,"0"
"117",0.009615,"12",0.003643,30,"0"
"118",0.01602,"13",0.003594,30,"0"
"119",0.007336,"13",0.004215,30,"0"
"120",0.007543,"13",0.003809,30,"0"
"121",0.008511,"13",0.002483,30,"0"
"122",0.01036,"13",0.003336,30,"0"
"123",0.012004,"13",0.002399,30,"0"
"124",0.005976,"13",0.002936,30,"0"
"125",0.005224,"13",0.002107,30,"0"
"126",0.007903,"13",0.002437,30,"0"
"127",0.005346,"13",0.002053,30,"0"
"128",0.005905,"13",0.003026,30,"0"
"129",0.006516,"13",0.002946,30,"0"
"130",0.006641,"13",0.004042,30,"0"
"131",0.005541,"13",0.003278,30,"0"
"132",0.006781,"13",0.002767,30,"0"
"133",0.007208,"13",0.00286,30,"0"
"134",0.007425,"13",0.003473,30,"0"
"135",0.005885,"13",0.002423,30,"0"
"136",0.010424,"13",0.004414,30,"0"
"137",0.008688,"13",0.002465,30,"0"
"138",0.009482,"13",0.003104,30,"0"
"139",0.007108,"13",0.002915,30,"0"
"140",0.005758,"13",0.002679,30,"0"
"141",0.007734,"13",0.002961,30,"0"
"142",0.005093,"13",0.002298,30,"0"
"143",0.008271,"13",0.003198,30,"0"
"144",0.007591,"13",0.003064,30,"0"
"145",0.006593,"13",0.005612,30,"0"
"146",0.006974,"13",0.003308,30,"0"
"147",0.008038,"13",0.003115,30,"0"
"148",0.014542,"14",0.005762,30,"0"
"149",0.01339,"14",0.004791,30,"0"
"150",0.010643,"14",0.004101,30,"0"
"151",0.008579,"14",0.003683,30,"0"
"152",0.008532,"14",0.003179,30,"0"
"153",0.009321,"14",0.002609,30,"0"
"154",0.008983,"14",0.003378,30,"0"
"155",0.006922,"14",0.002797,30,"0"
"156",0.006858,"14",0.00361,30,"0"
"157",0.007519,"14",0.001889,30,"0"
"158",0.005542,"14",0.002031,30,"0"
"159",0.006398,"14",0.002907,30,"0"
"160",0.006643,"14",0.003157,30,"0"
"161",0.005867,"14",0.001954,30,"0"
"162",0.01102,"14",0.003014,30,"0"
"163",0.008866,"14",0.003552,30,"0"
"164",0.009577,"14",0.003034,30,"0"
"165",0.018543,"14",0.003916,30,"0"
"166",0.015912,"14",0.003673,30,"0"
"167",0.007494,"14",0.00387,30,"0"
"168",0.009798,"14",0.003497,30,"0"
"169",0.006238,"14",0.003319,30,"0"
"170",0.00679,"14",0.002579,30,"0"
"171",0.006219,"14",0.002887,30,"0"
