"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"98",1,13,2,0.3,7,1,7.2,"10","it",30,"0"
"99",1,14,3,0.3,4,2,4.8,"10","it",30,"0"
"100",1,15,0,0.3,5,1,5.5,"10","it",30,"0"
"101",1,16,5,0.3,8,1,5.1,"10","it",30,"0"
"102",1,17,5,0.3,5,1,5.1,"10","it",30,"0"
"103",1,18,-2,0,0,0,0,"10","it",30,"0"
"104",1,19,1,0.096148,3,1,9.4,"10","it",30,"0"
"105",1,20,0,0.3,2,1,5.5,"10","it",30,"0"
"106",1,21,-2,0,0,0,0,"10","it",30,"0"
"107",1,22,5,0.3,1,2,5.1,"10","it",30,"0"
"108",1,23,0,0.3,1,1,5.5,"10","it",30,"0"
"109",1,24,2,0.3,7,1,7.2,"10","it",30,"0"
"110",1,25,5,0.3,4,1,5.1,"10","it",30,"0"
"111",1,26,3,0.3,3,2,4.8,"10","it",30,"0"
"112",1,27,0,0.3,1,1,5.5,"10","it",30,"0"
"113",1,28,3,0.3,1,2,4.8,"10","it",30,"0"
"114",1,29,5,0.3,4,2,5.1,"10","it",30,"0"
"115",1,30,0,0.3,3,1,5.5,"10","it",30,"0"
"116",1,31,0,0.3,1,1,5.5,"10","it",30,"0"
"117",1,32,5,0,3,2,5.1,"10","it",30,"0"
"118",1,33,5,0.3,4,1,5.1,"10","it",30,"0"
"119",1,34,1,0.3,2,2,9.4,"10","it",30,"0"
"120",1,35,3,0.3,2,2,4.8,"10","it",30,"0"
"121",1,6,1,0,3,1,9.4,"11","ahp",30,"0"
"122",1,7,4,0.3,1,2,3.9,"11","ahp",30,"0"
"123",1,8,1,0,4,1,9.4,"11","ahp",30,"0"
"124",1,9,1,0,1,1,9.4,"11","ahp",30,"0"
"125",1,10,1,0,3,1,9.4,"11","ahp",30,"0"
"126",1,11,1,0,4,1,9.4,"11","ahp",30,"0"
"127",1,12,5,0.3,1,3,5.1,"11","ahp",30,"0"
"128",1,13,4,0.3,1,2,3.9,"11","ahp",30,"0"
"129",1,14,2,0.3,2,2,7.2,"11","ahp",30,"0"
"130",1,15,1,0.3,3,1,9.4,"11","ahp",30,"0"
"131",1,16,5,0.3,3,2,5.1,"11","ahp",30,"0"
"132",1,17,1,0,2,1,9.4,"11","ahp",30,"0"
"133",1,18,2,0.3,3,2,7.2,"11","ahp",30,"0"
"134",1,19,5,0.3,2,2,5.1,"11","ahp",30,"0"
"135",1,20,2,0.3,1,3,7.2,"11","ahp",30,"0"
"136",1,21,2,0.3,1,3,7.2,"11","ahp",30,"0"
"137",1,22,5,0.3,1,4,5.1,"11","ahp",30,"0"
"138",1,23,2,0.3,3,2,7.2,"11","ahp",30,"0"
"139",1,24,1,0,8,1,9.4,"11","ahp",30,"0"
"140",1,25,4,0.3,3,2,3.9,"11","ahp",30,"0"
"141",1,26,2,0.3,2,3,7.2,"11","ahp",30,"0"
"142",1,27,1,0.027273,3,1,9.4,"11","ahp",30,"0"
"143",1,28,5,0.3,2,2,5.1,"11","ahp",30,"0"
"144",1,29,1,0,1,1,9.4,"11","ahp",30,"0"
"145",1,30,5,0.03664,1,3,5.1,"11","ahp",30,"0"
"146",1,31,4,0.3,3,2,3.9,"11","ahp",30,"0"
"147",1,32,4,0.3,1,2,3.9,"11","ahp",30,"0"
"148",1,33,4,0.3,2,1,3.9,"11","ahp",30,"0"
"149",1,34,5,0,2,2,5.1,"11","ahp",30,"0"
"150",1,35,5,0.3,1,2,5.1,"11","ahp",30,"0"
"151",1,6,2,0.3,3,1,7.2,"11","it",30,"0"
"152",1,7,5,0,3,2,5.1,"11","it",30,"0"
"153",1,8,1,0.3,4,1,9.4,"11","it",30,"0"
"154",1,9,5,0,8,2,5.1,"11","it",30,"0"
"155",1,10,2,0.3,3,1,7.2,"11","it",30,"0"
"156",1,11,5,0.3,1,1,5.1,"11","it",30,"0"
"157",1,12,5,0,1,3,5.1,"11","it",30,"0"
"158",1,13,5,0.3,3,2,5.1,"11","it",30,"0"
"159",1,14,0,0.3,1,2,5.5,"11","it",30,"0"
"160",1,15,5,0.3,4,2,5.1,"11","it",30,"0"
"161",1,16,5,0.3,3,2,5.1,"11","it",30,"0"
