1,16,3,23,0
1,28,1
1,12,31,9,3,30,33,28,1
2,16,3,23,0
2,28,1,35,7,2
2,12,9,3,30,17,15,2,7,5
3,16,3,23,0
3,28,1,35,7,2
3,12,31,9,23,17,15,7,5
4,16,3,23,0
4,28,1,26,5
4,12,31,9,3,30,33,28,1
5,16,3,30,23,0
5,28,1,26,5
5,12,20,9,23,17,27,15,2
6,16,3,23,0
6,28,1,35,7,2
6,12,20,9,23,0
7,16,3,23,0
7,28,1,35,7,2
7,12,31,20,9,23,17,15,2
8,16,3
8,28,1
8,12,31,20,9,0
9,16,3
9,28,25,26,5
9,12,31,20,9,23,24,27,2
10,16,3
10,28,1,26,5
10,12,31,20,9,23,24,27,2
11,16,3
11,28,25,1
11,12,20,9,23,24,27,2
12,16,3
12,28,25,1,15,27,2
12,12,20,9,23,17,15,1
13,16,4
13,28,34,30,17,23,0
13,12,20,9,23,24,15,1
14,16,30,17,23,0
14,28,25,1,35,5
14,12,20,9,23,24,27,2
15,16,30,17,23,0
15,28,25,1,35,5
15,12,31,20,9,0,23,24,27,2
16,16,30,17,23,0
16,28,25,1,27,2,7,5
16,12,31,20,9,0,23,24,15,1
17,16,30,17,23,0
17,28,34,17,23,0
17,12,20,9,0,23,24,27,2
18,16,30,10,17,0
18,28,25,1,27,2
18,12,20,9,0,23,24,27,35,5
19,16,30,10,17,0
19,28,25,1,27,2
19,12,20,9,0,23,24,27,35,5
20,16,30,10,17,0
20,28,25,1,27,2
20,12,20,9,0,23,24,15,1
21,16,30,10,17,23,0
21,28,25,1,8,5
21,12,20,9,0,23,24,27,2
22,16,30,10,17,23,0
22,28,25,1,8,5
22,12,20,9,0,23,24,15,1
23,16,4,30,10,17,0
23,28,25,1,8,5
23,12,20,9,0,23,24,27,2
24,16,4,30,3
24,28,25,1,8,5
24,12,20,9,0,23,24,27,5
25,16,4,30,10,17,0
25,28,25,1,8,5
25,12,31,6,3
26,16,4,30,10,17,0
26,28,25,1,27,2
26,12,31,6,3
27,16,4,30,10,0
27,28,25,1
27,12,31,6,3
28,16,4,30,17,0
28,28,25,1,8,5
28,12,31,6,3
29,16,4,30,17,0
29,28,25,1,27,2
29,12,31,6,33,17,0
30,16,4,30,17,0
30,28,25,1,8,5
30,12,31,6,33,17,0
