"Iteration","Dst","Src","Score","method","scoretype"
"146",1,15,1,0.814902,"ahp","it"
"147",1,6,1,0.927472,"ahp","it"
"148",1,16,0,0.825,"ahp","it"
"149",1,25,1,0.675,"ahp","it"
"150",1,35,4,0.934,"ahp","it"
"151",1,29,1,0.85,"ahp","it"
"152",1,17,1,0.675,"ahp","it"
"153",1,14,1,0.675,"ahp","it"
"154",1,19,1,0.675,"ahp","it"
"155",1,33,1,0.675,"ahp","it"
"156",1,32,1,0.85,"ahp","it"
"157",1,23,0,0.825,"ahp","it"
"158",1,10,1,0.675,"ahp","it"
"159",1,20,1,0.675,"ahp","it"
"160",1,8,2,0.825,"ahp","it"
"161",1,27,0,0.825,"ahp","it"
"162",1,26,4,0.934,"ahp","it"
"163",1,12,1,0.675,"ahp","it"
"164",1,31,1,0.675,"ahp","it"
"165",1,28,3,0.988,"ahp","it"
"166",1,11,1,0.675,"ahp","it"
"167",1,30,1,0.675,"ahp","it"
"168",1,22,1,0.85,"ahp","it"
"169",1,9,5,0.227803,"it","ahp"
"170",1,13,1,0.270771,"it","ahp"
"171",1,24,5,0.118278,"it","ahp"
"172",1,15,0,0.11969,"it","ahp"
"173",1,6,1,0.322362,"it","ahp"
"174",1,16,0,0.213471,"it","ahp"
"175",1,25,5,0.139279,"it","ahp"
"176",1,35,3,0.217416,"it","ahp"
"177",1,29,5,0.187659,"it","ahp"
"178",1,17,2,0.183712,"it","ahp"
"179",1,14,3,0.177126,"it","ahp"
"180",1,19,5,0.142375,"it","ahp"
"181",1,33,0,0.162002,"it","ahp"
"182",1,32,5,0.167856,"it","ahp"
"183",1,23,0,0.223411,"it","ahp"
"184",1,10,5,0.124638,"it","ahp"
"185",1,20,0,0.215248,"it","ahp"
"186",1,8,2,0.25375,"it","ahp"
"187",1,27,3,0.146038,"it","ahp"
"188",1,26,3,0.203622,"it","ahp"
"189",1,12,2,0.154258,"it","ahp"
"190",1,31,0,0.250303,"it","ahp"
"191",1,28,3,0.292129,"it","ahp"
"192",1,11,5,0.176894,"it","ahp"
"193",1,30,0,0.214122,"it","ahp"
"194",1,22,5,0.247053,"it","ahp"
"195",1,9,5,1,"it","it"
"196",1,13,1,0.825,"it","it"
"197",1,24,5,0.825,"it","it"
"198",1,15,0,0.825,"it","it"
"199",1,6,1,1,"it","it"
"200",1,16,0,0.825,"it","it"
"201",1,25,5,0.825,"it","it"
"202",1,35,3,0.988,"it","it"
"203",1,29,5,1,"it","it"
"204",1,17,2,0.825,"it","it"
"205",1,14,3,0.988,"it","it"
"206",1,19,5,0.825,"it","it"
"207",1,33,0,0.825,"it","it"
"208",1,32,5,0.860704,"it","it"
"209",1,23,0,0.825,"it","it"
"210",1,10,5,0.825,"it","it"
"211",1,20,0,0.825,"it","it"
"212",1,8,2,0.825,"it","it"
"213",1,27,3,0.813,"it","it"
"214",1,26,3,0.988,"it","it"
"215",1,12,2,0.675,"it","it"
"216",1,31,0,0.825,"it","it"
"217",1,28,3,0.988,"it","it"
"218",1,11,5,0.825,"it","it"
"219",1,30,0,0.825,"it","it"
"220",1,22,5,1,"it","it"
"221",1,27,1,0.259619,"ahp","ahp"
"222",1,28,5,0.293502,"ahp","ahp"
"223",1,20,2,0.27737,"ahp","ahp"
"224",1,6,1,0.244518,"ahp","ahp"
"225",1,16,5,0.273093,"ahp","ahp"
"226",1,10,1,0.228606,"ahp","ahp"
"227",1,23,2,0.231508,"ahp","ahp"
"228",1,22,5,0.37139,"ahp","ahp"
"229",1,18,2,0.231508,"ahp","ahp"
"230",1,13,4,0.268045,"ahp","ahp"
"231",1,11,1,0.225593,"ahp","ahp"
"232",1,29,1,0.269505,"ahp","ahp"
"233",1,19,5,0.288711,"ahp","ahp"
"234",1,17,1,0.270412,"ahp","ahp"
"235",1,12,5,0.338397,"ahp","ahp"
"236",1,8,1,0.229192,"ahp","ahp"
"237",1,26,2,0.276894,"ahp","ahp"
"238",1,21,2,0.279242,"ahp","ahp"
"239",1,14,2,0.237384,"ahp","ahp"
"240",1,32,4,0.271738,"ahp","ahp"
"241",1,35,5,0.291115,"ahp","ahp"
"242",1,24,1,0.23053,"ahp","ahp"
"243",1,33,4,0.237856,"ahp","ahp"
"244",1,30,5,0.285655,"ahp","ahp"
"245",1,7,4,0.30311,"ahp","ahp"
"246",1,25,4,0.297052,"ahp","ahp"
"247",1,34,5,0.252347,"ahp","ahp"
"248",1,9,1,0.270683,"ahp","ahp"
"249",1,31,4,0.267884,"ahp","ahp"
"250",1,27,1,0.688636,"ahp","it"
"251",1,28,5,1,"ahp","it"
"252",1,20,2,1,"ahp","it"
"253",1,6,1,0.675,"ahp","it"
"254",1,16,5,1,"ahp","it"
"255",1,10,1,0.675,"ahp","it"
"256",1,23,2,1,"ahp","it"
"257",1,22,5,1,"ahp","it"
"258",1,18,2,1,"ahp","it"
"259",1,13,4,0.934,"ahp","it"
"260",1,11,1,0.675,"ahp","it"
"261",1,29,1,0.675,"ahp","it"
"262",1,19,5,1,"ahp","it"
"263",1,17,1,0.675,"ahp","it"
"264",1,12,5,1,"ahp","it"
"265",1,8,1,0.675,"ahp","it"
"266",1,26,2,1,"ahp","it"
"267",1,21,2,1,"ahp","it"
"268",1,14,2,1,"ahp","it"
"269",1,32,4,0.934,"ahp","it"
"270",1,35,5,1,"ahp","it"
"271",1,24,1,0.675,"ahp","it"
"272",1,33,4,0.759,"ahp","it"
"273",1,30,5,0.86832,"ahp","it"
"274",1,7,4,0.934,"ahp","it"
"275",1,25,4,0.934,"ahp","it"
"276",1,34,5,0.85,"ahp","it"
"277",1,9,1,0.675,"ahp","it"
"278",1,31,4,0.934,"ahp","it"
"279",1,27,5,0.174598,"it","ahp"
"280",1,28,5,0.257138,"it","ahp"
"281",1,20,0,0.216768,"it","ahp"
"282",1,6,2,0.198254,"it","ahp"
"283",1,16,5,0.236729,"it","ahp"
"284",1,10,0,0.17479,"it","ahp"
"285",1,23,0,0.203954,"it","ahp"
"286",1,22,5,0.335026,"it","ahp"
"287",1,18,2,0.211507,"it","ahp"
"288",1,13,5,0.187294,"it","ahp"
"289",1,11,1,0.243775,"it","ahp"
"290",1,29,5,0.207251,"it","ahp"
"291",1,19,5,0.288711,"it","ahp"
"292",1,17,5,0.164446,"it","ahp"
"293",1,12,5,0.287747,"it","ahp"
"294",1,8,2,0.19923,"it","ahp"
"295",1,26,2,0.316755,"it","ahp"
"296",1,21,2,0.319103,"it","ahp"
"297",1,14,0,0.193854,"it","ahp"
"298",1,32,5,0.183177,"it","ahp"
"299",1,35,5,0.254751,"it","ahp"
"300",1,24,4,0.232736,"it","ahp"
"301",1,33,4,0.242111,"it","ahp"
"302",1,30,5,0.273628,"it","ahp"
"303",1,7,5,0.173008,"it","ahp"
"304",1,25,5,0.176451,"it","ahp"
"305",1,34,5,0.252347,"it","ahp"
"306",1,9,5,0.149796,"it","ahp"
"307",1,31,5,0.237547,"it","ahp"
"308",1,27,5,1,"it","it"
"309",1,28,5,1,"it","it"
"310",1,20,0,1,"it","it"
"311",1,6,2,0.825,"it","it"
"312",1,16,5,1,"it","it"
"313",1,10,0,0.825,"it","it"
"314",1,23,0,1,"it","it"
"315",1,22,5,1,"it","it"
"316",1,18,2,1,"it","it"
"317",1,13,5,1,"it","it"
"318",1,11,1,0.825,"it","it"
"319",1,29,5,1,"it","it"
"320",1,19,5,1,"it","it"
"321",1,17,5,0.905404,"it","it"
"322",1,12,5,0.85,"it","it"
"323",1,8,2,0.778846,"it","it"
"324",1,26,2,1,"it","it"
"325",1,21,2,1,"it","it"
"326",1,14,0,0.875959,"it","it"
"327",1,32,5,0.85,"it","it"
"328",1,35,5,0.85,"it","it"
"329",1,24,4,0.759,"it","it"
"330",1,33,4,0.759,"it","it"
"331",1,30,5,0.85,"it","it"
"332",1,7,5,0.85,"it","it"
"333",1,25,5,0.85,"it","it"
"334",1,34,5,0.85,"it","it"
"335",1,9,5,0.85,"it","it"
"336",1,31,5,0.85,"it","it"
"337",1,12,1,0.25351,"ahp","ahp"
"338",1,9,1,0.432733,"ahp","ahp"
"339",1,29,0,0.30489,"ahp","ahp"
"340",1,30,0,0.255156,"ahp","ahp"
"341",1,22,3,0.29908,"ahp","ahp"
"342",1,18,0,0.235938,"ahp","ahp"
"343",1,33,1,0.286294,"ahp","ahp"
"344",1,6,1,0.271844,"ahp","ahp"
"345",1,20,1,0.371605,"ahp","ahp"
"346",1,26,1,0.26164,"ahp","ahp"
"347",1,34,1,0.26164,"ahp","ahp"
"348",1,21,1,0.345967,"ahp","ahp"
"349",1,19,1,0.37696,"ahp","ahp"
"350",1,17,1,0.329455,"ahp","ahp"
"351",1,31,0,0.240286,"ahp","ahp"
"352",1,16,0,0.315167,"ahp","ahp"
"353",1,8,3,0.278382,"ahp","ahp"
"354",1,24,1,0.355993,"ahp","ahp"
"355",1,32,1,0.24364,"ahp","ahp"
"356",1,23,0,0.230373,"ahp","ahp"
