1,14,10,31,5
1,8,23,30,6,22,15,5
1,20,1
2,14,4,1
2,8,23,0
2,20,9,30,0
3,14,4,1
3,8,28,34,20,1
3,20,9,30,0
4,14,10,31,5
4,8,23,0
4,20,1
5,14,10,31,5
5,8,28,34,20,1
5,20,9,30,0
6,14,10,31,5
6,8,28,34,20,1
6,20,34,28,8,23,0
7,14,4,1
7,8,23,0
7,20,1
8,14,4,1
8,8,28,34,20,1
8,20,1
9,14,4,1
9,8,23,0
9,20,1
10,14,4,1
10,8,28,34,20,1
10,20,34,28,8,23,0
11,14,4,1
11,8,23,0
11,20,34,28,8,23,0
12,14,4,1
12,8,23,0
12,20,34,28,8,23,0
13,14,4,1
13,8,28,34,20,1
13,20,34,28,8,23,0
14,14,4,1
14,8,23,0
14,20,1
15,14,4,1
15,8,28,34,20,1
15,20,34,28,8,23,0
16,14,4,1
16,8,28,34,20,1
16,20,34,28,8,23,0
17,14,4,1
17,8,23,30,6,16,14,5
17,20,1
18,14,4,1
18,8,23,30,6,16,14,5
18,20,34,28,8,23,0
19,14,4,1
19,8,28,21,34,20,1
19,20,9,11,30,0
20,14,5
20,8,23,0
20,20,1
21,14,4,1
21,8,23,0
21,20,9,11,30,0
22,14,5
22,8,23,0
22,20,9,1
23,14,4,1
23,8,23,30,11,9,1
23,20,34,21,28,8,23,0
24,14,15,5
24,8,23,30,11,16,14,15,5
24,20,1
25,14,4,1
25,8,23,30,11,9,1
25,20,9,16,14,5
26,14,5
26,8,23,30,11,16,14,5
26,20,1
27,14,4,1
27,8,23,30,11,16,14,5
27,20,1
28,14,4,1
28,8,23,30,11,16,14,5
28,20,9,16,14,5
29,14,5
29,8,23,30,11,16,14,5
29,20,9,11,30,0
30,14,4,1
30,8,23,30,11,9,1
30,20,9,16,14,5
