"Iteration","Dst","Src","Priority","Number","Percentage","run","method","users","speed"
"106",1,21,-2,0,0,0,"10","ahp",30,"0"
"107",1,22,1,0.7,2,0.85,"10","ahp",30,"0"
"108",1,23,0,0.1,1,0.731647,"10","ahp",30,"0"
"109",1,24,1,0.3,2,0.7375,"10","ahp",30,"0"
"110",1,25,1,0.3,2,0.766667,"10","ahp",30,"0"
"111",1,26,4,1,4,1,"10","ahp",30,"0"
"112",1,27,0,0.1,1,0.666599,"10","ahp",30,"0"
"113",1,28,3,0.3,2,0.883333,"10","ahp",30,"0"
"114",1,29,1,0.3,2,0.883333,"10","ahp",30,"0"
"115",1,30,1,0.7,2,0.85,"10","ahp",30,"0"
"116",1,31,1,0,0,0.4875,"10","ahp",30,"0"
"117",1,32,1,0.7,2,0.85,"10","ahp",30,"0"
"118",1,33,1,0,0,0.74507,"10","ahp",30,"0"
"119",1,34,1,0.3,2,0.825,"10","ahp",30,"0"
"120",1,35,4,0.1,1,0.73841,"10","ahp",30,"0"
"121",1,6,2,0.3,2,0.7375,"11","it",30,"0"
"122",1,7,5,0.1,1,0.766344,"11","it",30,"0"
"123",1,8,2,0.3,2,0.825,"11","it",30,"0"
"124",1,9,4,0,0,0.728484,"11","it",30,"0"
"125",1,10,2,0.4,2,0.917036,"11","it",30,"0"
"126",1,11,5,0.1,1,0.747257,"11","it",30,"0"
"127",1,12,5,1,4,1,"11","it",30,"0"
"128",1,13,5,0.3,2,0.883333,"11","it",30,"0"
"129",1,14,0,1,4,1,"11","it",30,"0"
"130",1,15,4,0.3,2,0.883333,"11","it",30,"0"
"131",1,16,1,0.6,2,0.942857,"11","it",30,"0"
"132",1,17,1,0.6,2,0.9,"11","it",30,"0"
"133",1,18,2,0.1,1,0.763122,"11","it",30,"0"
"134",1,19,5,1,4,1,"11","it",30,"0"
"135",1,20,1,1,4,1,"11","it",30,"0"
"136",1,21,3,0.3,2,0.9125,"11","it",30,"0"
"137",1,22,5,1,4,1,"11","it",30,"0"
"138",1,23,2,0.4,2,0.949856,"11","it",30,"0"
"139",1,24,5,0,0,0.542751,"11","it",30,"0"
"140",1,25,1,0.4,1,0.7,"11","it",30,"0"
"141",1,26,2,0.1,1,0.861235,"11","it",30,"0"
"142",1,27,4,0.3,2,0.883333,"11","it",30,"0"
"143",1,28,5,0.4,2,0.86092,"11","it",30,"0"
"144",1,29,5,1,4,1,"11","it",30,"0"
"145",1,30,1,0.7,2,0.852098,"11","it",30,"0"
"146",1,31,4,0.3,2,0.883333,"11","it",30,"0"
"147",1,32,5,0.4,2,0.891787,"11","it",30,"0"
"148",1,33,5,0.1,1,0.680638,"11","it",30,"0"
"149",1,34,5,0,0,0.644709,"11","it",30,"0"
"150",1,35,5,0.1,1,0.767465,"11","it",30,"0"
"151",1,6,1,0,0,0.5875,"11","ahp",30,"0"
"152",1,7,4,0.1,1,0.723283,"11","ahp",30,"0"
"153",1,8,1,0,0,0.675,"11","ahp",30,"0"
"154",1,9,1,0,0,0.5875,"11","ahp",30,"0"
"155",1,10,1,0.3,1,0.833352,"11","ahp",30,"0"
"156",1,11,1,0,0,0.675,"11","ahp",30,"0"
"157",1,12,5,1,4,1,"11","ahp",30,"0"
"158",1,13,4,0.3,2,0.883333,"11","ahp",30,"0"
"159",1,14,2,0.6,2,0.9,"11","ahp",30,"0"
"160",1,15,1,0.2,1,0.7,"11","ahp",30,"0"
"161",1,16,5,0.4,2,0.942514,"11","ahp",30,"0"
"162",1,17,1,0.4,1,0.75,"11","ahp",30,"0"
"163",1,18,2,0.1,1,0.763122,"11","ahp",30,"0"
"164",1,19,5,1,4,1,"11","ahp",30,"0"
"165",1,20,2,1,4,1,"11","ahp",30,"0"
"166",1,21,2,0.3,2,0.9125,"11","ahp",30,"0"
"167",1,22,5,1,4,1,"11","ahp",30,"0"
"168",1,23,2,0.4,2,0.949856,"11","ahp",30,"0"
"169",1,24,1,0,0,0.441667,"11","ahp",30,"0"
"170",1,25,4,0,0,0.749093,"11","ahp",30,"0"
"171",1,26,2,0.1,1,0.861235,"11","ahp",30,"0"
"172",1,27,1,0,0,0.66563,"11","ahp",30,"0"
"173",1,28,5,0.4,2,0.86092,"11","ahp",30,"0"
"174",1,29,1,0,0,0.675,"11","ahp",30,"0"
"175",1,30,5,0.4,2,0.86671,"11","ahp",30,"0"
"176",1,31,5,0.3,2,0.883333,"11","ahp",30,"0"
"177",1,32,4,0.4,2,0.846661,"11","ahp",30,"0"
"178",1,33,1,0,0,0.541862,"11","ahp",30,"0"
"179",1,34,5,0.1,1,0.699069,"11","ahp",30,"0"
"180",1,35,5,0.1,1,0.767465,"11","ahp",30,"0"
"181",1,6,1,1,4,1,"12","it",30,"0"
"182",1,7,2,0.3,2,0.883333,"12","it",30,"0"
"183",1,8,3,0.3,2,0.9125,"12","it",30,"0"
"184",1,9,1,1,4,1,"12","it",30,"0"
"185",1,10,3,0.6,2,0.9,"12","it",30,"0"
"186",1,11,4,0.3,2,0.7375,"12","it",30,"0"
"187",1,12,1,0.6,2,0.92,"12","it",30,"0"
"188",1,13,2,0.2,1,0.708929,"12","it",30,"0"
"189",1,14,2,0.1,1,0.720086,"12","it",30,"0"
"190",1,15,5,0.1,1,0.722048,"12","it",30,"0"
"191",1,16,0,0,0,0.777825,"12","it",30,"0"
"192",1,17,2,0.4,2,0.925744,"12","it",30,"0"
"193",1,18,3,1,4,1,"12","it",30,"0"
"194",1,19,1,0.7,2,0.860452,"12","it",30,"0"
"195",1,20,2,0.3,2,0.7375,"12","it",30,"0"
"196",1,21,1,1,4,1,"12","it",30,"0"
