"Iteration","Dst","Src","Accuracy","Completeness","Timeliness","Reliability","run","method","users","speed"
"85",1,30,2,0.4,0.126185,0.063093,0.3,"10","it",30,"0"
"86",1,31,0,0.242054,0.196027,0.1,0.1875,"10","it",30,"0"
"87",1,32,1,0.4,0.2,0.1,0.3,"10","it",30,"0"
"88",1,33,1,0.266667,0.2,0.1,0.2,"10","it",30,"0"
"89",1,34,1,0.3,0.2,0.1,0.225,"10","it",30,"0"
"90",1,35,0,0.25,0.2,0.1,0.1875,"10","it",30,"0"
"91",1,6,1,0.4,0.2,0.1,0.3,"10","ahp",30,"0"
"92",1,7,-2,0,0,0,0,"10","ahp",30,"0"
"93",1,8,2,0.271187,0.185593,0.1,0.225,"10","ahp",30,"0"
"94",1,9,1,0.4,0.2,0.1,0.3,"10","ahp",30,"0"
"95",1,10,1,0.4,0.1,0.05,0.3,"10","ahp",30,"0"
"96",1,11,1,0.266667,0.1,0.05,0.2,"10","ahp",30,"0"
"97",1,12,1,0.25,0.1,0.05,0.1875,"10","ahp",30,"0"
"98",1,13,1,0.3,0.2,0.07,0.135,"10","ahp",30,"0"
"99",1,14,1,0.4,0.2,0.1,0.3,"10","ahp",30,"0"
"100",1,15,1,0.3,0.2,0.1,0.225,"10","ahp",30,"0"
"101",1,16,1,0.25,0.2,0.075,0.1125,"10","ahp",30,"0"
"102",1,17,1,0.266667,0.2,0.1,0.2,"10","ahp",30,"0"
"103",1,18,-2,0,0,0,0,"10","ahp",30,"0"
"104",1,19,1,0.3,0.2,0.066667,0.125,"10","ahp",30,"0"
"105",1,20,1,0.25,0.1,0.03,0.1275,"10","ahp",30,"0"
"106",1,21,-2,0,0,0,0,"10","ahp",30,"0"
"107",1,22,1,0.4,0.1,0.05,0.3,"10","ahp",30,"0"
"108",1,23,0,0.24332,0.188327,0.1,0.2,"10","ahp",30,"0"
"109",1,24,1,0.25,0.2,0.1,0.1875,"10","ahp",30,"0"
"110",1,25,1,0.266667,0.2,0.1,0.2,"10","ahp",30,"0"
"111",1,26,4,0.4,0.2,0.1,0.3,"10","ahp",30,"0"
"112",1,27,0,0.199955,0.166644,0.1,0.2,"10","ahp",30,"0"
"113",1,28,3,0.333333,0.2,0.1,0.25,"10","ahp",30,"0"
"114",1,29,1,0.333333,0.2,0.1,0.25,"10","ahp",30,"0"
"115",1,30,1,0.4,0.1,0.05,0.3,"10","ahp",30,"0"
"116",1,31,1,0.25,0.1,0.025,0.1125,"10","ahp",30,"0"
"117",1,32,1,0.4,0.1,0.05,0.3,"10","ahp",30,"0"
"118",1,33,1,0.266667,0.185602,0.092801,0.2,"10","ahp",30,"0"
"119",1,34,1,0.3,0.2,0.1,0.225,"10","ahp",30,"0"
"120",1,35,4,0.242273,0.171137,0.1,0.225,"10","ahp",30,"0"
"121",1,6,2,0.25,0.2,0.1,0.1875,"11","it",30,"0"
"122",1,7,5,0.255341,0.161004,0.1,0.25,"11","it",30,"0"
"123",1,8,2,0.3,0.2,0.1,0.225,"11","it",30,"0"
"124",1,9,4,0.257879,0.178939,0.091667,0.2,"11","it",30,"0"
"125",1,10,2,0.34469,0.172345,0.1,0.3,"11","it",30,"0"
"126",1,11,5,0.248172,0.174086,0.1,0.225,"11","it",30,"0"
"127",1,12,5,0.4,0.2,0.1,0.3,"11","it",30,"0"
"128",1,13,5,0.333333,0.2,0.1,0.25,"11","it",30,"0"
"129",1,14,0,0.4,0.2,0.1,0.3,"11","it",30,"0"
"130",1,15,4,0.333333,0.2,0.1,0.25,"11","it",30,"0"
"131",1,16,1,0.4,0.2,0.085714,0.257143,"11","it",30,"0"
"132",1,17,1,0.4,0.2,0.075,0.225,"11","it",30,"0"
"133",1,18,2,0.258748,0.179374,0.1,0.225,"11","it",30,"0"
"134",1,19,5,0.4,0.2,0.1,0.3,"11","it",30,"0"
"135",1,20,1,0.4,0.2,0.1,0.3,"11","it",30,"0"
"136",1,21,3,0.35,0.2,0.1,0.2625,"11","it",30,"0"
"137",1,22,5,0.4,0.2,0.1,0.3,"11","it",30,"0"
"138",1,23,2,0.366571,0.183285,0.1,0.3,"11","it",30,"0"
"139",1,24,5,0.217389,0.175361,0.0625,0.0875,"11","it",30,"0"
"140",1,25,1,0.4,0.1,0.0125,0.1875,"11","it",30,"0"
