"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"73",1,18,-2,0,0,0,0,"10","ahp",30,"0"
"74",1,19,1,0.028591,3,1,9.4,"10","ahp",30,"0"
"75",1,20,1,0,5,1,9.4,"10","ahp",30,"0"
"76",1,21,-2,0,0,0,0,"10","ahp",30,"0"
"77",1,22,1,0,1,2,9.4,"10","ahp",30,"0"
"78",1,23,0,0.253139,1,1,5.5,"10","ahp",30,"0"
"79",1,24,1,0.044516,5,1,9.4,"10","ahp",30,"0"
"80",1,25,1,0.220855,2,1,9.4,"10","ahp",30,"0"
"81",1,26,4,0.151936,2,2,3.9,"10","ahp",30,"0"
"82",1,27,0,0.210227,1,1,5.5,"10","ahp",30,"0"
"83",1,28,3,0.03783,1,2,4.8,"10","ahp",30,"0"
"84",1,29,1,0.226871,2,2,9.4,"10","ahp",30,"0"
"85",1,30,1,0,5,1,9.4,"10","ahp",30,"0"
"86",1,31,1,0,4,1,9.4,"10","ahp",30,"0"
"87",1,32,1,0,1,2,9.4,"10","ahp",30,"0"
"88",1,33,1,0.172264,2,1,9.4,"10","ahp",30,"0"
"89",1,34,1,0.216782,2,2,9.4,"10","ahp",30,"0"
"90",1,35,4,0.092688,1,2,3.9,"10","ahp",30,"0"
"91",1,6,1,0.040325,2,2,9.4,"10","it",30,"0"
"92",1,7,-2,0,0,0,0,"10","it",30,"0"
"93",1,8,2,0.210297,1,1,7.2,"10","it",30,"0"
"94",1,9,1,0.28904,2,2,9.4,"10","it",30,"0"
"95",1,10,0,0.082858,2,1,5.5,"10","it",30,"0"
"96",1,11,2,0.085794,3,1,7.2,"10","it",30,"0"
"97",1,12,4,0.123195,4,1,3.9,"10","it",30,"0"
"98",1,13,1,0.160405,5,1,9.4,"10","it",30,"0"
"99",1,14,1,0.067822,4,1,9.4,"10","it",30,"0"
"100",1,15,3,0.084924,2,1,4.8,"10","it",30,"0"
"101",1,16,1,0.022188,6,1,9.4,"10","it",30,"0"
"102",1,17,1,0.008149,3,1,9.4,"10","it",30,"0"
"103",1,18,-2,0,0,0,0,"10","it",30,"0"
"104",1,19,1,0.028591,3,1,9.4,"10","it",30,"0"
"105",1,20,0,0.202624,2,1,5.5,"10","it",30,"0"
"106",1,21,-2,0,0,0,0,"10","it",30,"0"
"107",1,22,5,0.074249,1,2,5.1,"10","it",30,"0"
"108",1,23,2,0.253139,7,1,7.2,"10","it",30,"0"
"109",1,24,1,0.044516,5,1,9.4,"10","it",30,"0"
"110",1,25,3,0.220855,6,1,4.8,"10","it",30,"0"
"111",1,26,4,0.151936,2,2,3.9,"10","it",30,"0"
"112",1,27,0,0.210227,1,1,5.5,"10","it",30,"0"
"113",1,28,3,0.03783,1,2,4.8,"10","it",30,"0"
"114",1,29,1,0.226871,2,2,9.4,"10","it",30,"0"
"115",1,30,2,0.043657,7,1,7.2,"10","it",30,"0"
"116",1,31,0,0.299271,1,1,5.5,"10","it",30,"0"
"117",1,32,1,0.229297,1,2,9.4,"10","it",30,"0"
"118",1,33,1,0.201238,2,1,9.4,"10","it",30,"0"
"119",1,34,1,0.216782,2,2,9.4,"10","it",30,"0"
"120",1,35,0,0.092688,3,1,5.5,"10","it",30,"0"
"121",1,6,1,0,3,1,9.4,"11","ahp",30,"0"
"122",1,7,4,0.192182,1,2,3.9,"11","ahp",30,"0"
"123",1,8,1,0,4,1,9.4,"11","ahp",30,"0"
"124",1,9,1,0,1,1,9.4,"11","ahp",30,"0"
"125",1,10,1,0,3,1,9.4,"11","ahp",30,"0"
"126",1,11,1,0,4,1,9.4,"11","ahp",30,"0"
"127",1,12,5,0.294539,1,3,5.1,"11","ahp",30,"0"
"128",1,13,4,0.095898,1,2,3.9,"11","ahp",30,"0"
"129",1,14,2,0.028599,2,2,7.2,"11","ahp",30,"0"
"130",1,15,1,0.243726,3,1,9.4,"11","ahp",30,"0"
"131",1,16,5,0.265863,3,2,5.1,"11","ahp",30,"0"
"132",1,17,1,0,2,1,9.4,"11","ahp",30,"0"
"133",1,18,2,0.210976,3,2,7.2,"11","ahp",30,"0"
"134",1,19,5,0.157112,2,2,5.1,"11","ahp",30,"0"
"135",1,20,2,0.155574,1,3,7.2,"11","ahp",30,"0"
"136",1,21,2,0.046684,1,3,7.2,"11","ahp",30,"0"
"137",1,22,5,0.069736,1,4,5.1,"11","ahp",30,"0"
"138",1,23,2,0.221224,3,2,7.2,"11","ahp",30,"0"
"139",1,24,1,0,8,1,9.4,"11","ahp",30,"0"
"140",1,25,4,0.064846,3,2,3.9,"11","ahp",30,"0"
"141",1,26,2,0.292333,2,3,7.2,"11","ahp",30,"0"
"142",1,27,1,0.083547,3,1,9.4,"11","ahp",30,"0"
"143",1,28,5,0.267507,2,2,5.1,"11","ahp",30,"0"
"144",1,29,1,0,1,1,9.4,"11","ahp",30,"0"
"145",1,30,5,0.274149,1,3,5.1,"11","ahp",30,"0"
"146",1,31,5,0.225755,2,2,5.1,"11","ahp",30,"0"
"147",1,32,4,0.108804,1,2,3.9,"11","ahp",30,"0"
"148",1,33,1,0,5,1,9.4,"11","ahp",30,"0"
"149",1,34,5,0.213795,2,2,5.1,"11","ahp",30,"0"
"150",1,35,5,0.061152,1,2,5.1,"11","ahp",30,"0"
"151",1,6,2,0.198398,3,1,7.2,"11","it",30,"0"
"152",1,7,5,0.192182,3,2,5.1,"11","it",30,"0"
"153",1,8,2,0.034877,4,1,7.2,"11","it",30,"0"
"154",1,9,4,0.036057,6,2,3.9,"11","it",30,"0"
"155",1,10,2,0.298008,3,1,7.2,"11","it",30,"0"
"156",1,11,5,0.070153,1,1,5.1,"11","it",30,"0"
"157",1,12,5,0.294539,1,3,5.1,"11","it",30,"0"
"158",1,13,5,0.095898,3,2,5.1,"11","it",30,"0"
"159",1,14,0,0.028599,1,2,5.5,"11","it",30,"0"
"160",1,15,4,0.243726,2,2,3.9,"11","it",30,"0"
"161",1,16,1,0.265863,7,1,9.4,"11","it",30,"0"
"162",1,17,1,0.018816,2,1,9.4,"11","it",30,"0"
"163",1,18,2,0.210976,3,2,7.2,"11","it",30,"0"
"164",1,19,5,0.157112,2,2,5.1,"11","it",30,"0"
"165",1,20,1,0.155574,2,1,9.4,"11","it",30,"0"
"166",1,21,3,0.046684,3,3,4.8,"11","it",30,"0"
