"Iteration","Dst","Src","Accuracy","Completeness","Timeliness","Reliability","run","method","users","speed"
"85",1,18,2,0.4,0.2,0.1,0.3,"4","it",3,"0"
"86",1,25,5,0.4,0.2,0.1,0.3,"4","it",3,"0"
"87",1,14,2,0.4,0.2,0.1,0.3,"4","it",3,"0"
"88",1,18,2,0.4,0.2,0.1,0.3,"4","ahp",3,"0"
"89",1,25,1,0.3,0.2,0.1,0.225,"4","ahp",3,"0"
"90",1,14,2,0.4,0.2,0.1,0.3,"4","ahp",3,"0"
"91",1,21,5,0.4,0.2,0.1,0.3,"5","it",3,"0"
"92",1,22,0,0.4,0.2,0.1,0.3,"5","it",3,"0"
"93",1,23,5,0.4,0.2,0.1,0.3,"5","it",3,"0"
"94",1,21,1,0.3,0.2,0.1,0.225,"5","ahp",3,"0"
"95",1,22,1,0.4,0.2,0.1,0.3,"5","ahp",3,"0"
"96",1,23,1,0.4,0.2,0.1,0.3,"5","ahp",3,"0"
"97",1,25,1,0.3,0.2,0.1,0.225,"6","it",3,"0"
"98",1,26,5,0.4,0.2,0.1,0.3,"6","it",3,"0"
"99",1,29,0,0.4,0.2,0.1,0.3,"6","it",3,"0"
"100",1,25,2,0.3,0.2,0.1,0.225,"6","ahp",3,"0"
"101",1,26,1,0.3,0.2,0.1,0.225,"6","ahp",3,"0"
"102",1,29,1,0.3,0.2,0.1,0.225,"6","ahp",3,"0"
"103",1,27,5,0.4,0.2,0.1,0.3,"7","it",3,"0"
"104",1,28,5,0.4,0.2,0.1,0.3,"7","it",3,"0"
"105",1,15,5,0.4,0.2,0.1,0.3,"7","it",3,"0"
"106",1,27,1,0.3,0.109091,0.054545,0.225,"7","ahp",3,"0"
"107",1,28,5,0.4,0.2,0.1,0.3,"7","ahp",3,"0"
"108",1,15,1,0.3,0.2,0.1,0.225,"7","ahp",3,"0"
"109",1,23,0,0.4,0.2,0.1,0.3,"8","it",3,"0"
"110",1,8,2,0.3,0.2,0.1,0.225,"8","it",3,"0"
"111",1,12,0,0.4,0.2,0.1,0.3,"8","it",3,"0"
"112",1,23,1,0.3,0.2,0.1,0.225,"8","ahp",3,"0"
"113",1,8,1,0.3,0.2,0.1,0.225,"8","ahp",3,"0"
"114",1,12,1,0.3,0.2,0.1,0.225,"8","ahp",3,"0"
"115",1,16,0,0.4,0.2,0.1,0.3,"9","it",3,"0"
"116",1,30,0,0.4,0.2,0.1,0.3,"9","it",3,"0"
"117",1,15,1,0.4,0.2,0.1,0.3,"9","it",3,"0"
"118",1,16,1,0.4,0.2,0.1,0.3,"9","ahp",3,"0"
"119",1,30,1,0.4,0.1,0.05,0.3,"9","ahp",3,"0"
"120",1,15,1,0.4,0.2,0.1,0.3,"9","ahp",3,"0"
"121",1,6,0,0.4,0.1,0.05,0.3,"1","it",30,"0"
"122",1,7,2,0.3,0.2,0.1,0.225,"1","it",30,"0"
"123",1,8,0,0.4,0.2,0.1,0.3,"1","it",30,"0"
"124",1,9,2,0.4,0.1,0.05,0.3,"1","it",30,"0"
"125",1,10,2,0.4,0.166667,0.083333,0.3,"1","it",30,"0"
"126",1,11,0,0.3,0.2,0.1,0.225,"1","it",30,"0"
"127",1,12,1,0.3,0.102718,0.051359,0.225,"1","it",30,"0"
"128",1,13,4,0.256,0.148513,0.085256,0.225,"1","it",30,"0"
"129",1,14,5,0.3,0.2,0.1,0.225,"1","it",30,"0"
"130",1,15,0,0.4,0.2,0.1,0.3,"1","it",30,"0"
"131",1,16,4,0.256,0.178,0.1,0.225,"1","it",30,"0"
"132",1,17,0,0.4,0.1,0.05,0.3,"1","it",30,"0"
"133",1,18,1,0.3,0.1,0.05,0.225,"1","it",30,"0"
"134",1,19,5,0.3,0.2,0.1,0.225,"1","it",30,"0"
"135",1,20,1,0.3,0.1,0.05,0.225,"1","it",30,"0"
"136",1,21,0,0.4,0.14,0.07,0.3,"1","it",30,"0"
"137",1,22,2,0.4,0.2,0.1,0.3,"1","it",30,"0"
"138",1,23,1,0.3,0.2,0.1,0.225,"1","it",30,"0"
"139",1,24,0,0.4,0.1,0.05,0.3,"1","it",30,"0"
"140",1,25,1,0.3,0.2,0.1,0.225,"1","it",30,"0"
"141",1,26,1,0.3,0.2,0.1,0.225,"1","it",30,"0"
"142",1,27,5,0.4,0.1,0.05,0.3,"1","it",30,"0"
"143",1,28,4,0.256,0.178,0.1,0.225,"1","it",30,"0"
"144",1,29,0,0.4,0.1,0.05,0.3,"1","it",30,"0"
"145",1,30,2,0.3,0.1,0.05,0.225,"1","it",30,"0"
"146",1,31,5,0.3,0.2,0.1,0.225,"1","it",30,"0"
