1,23,2
1,7,2
1,33,7,2
2,23,2
2,7,2
2,33,7,2
3,23,2
3,7,2
3,33,7,2
4,23,2
4,7,2
4,33,23,2
5,23,2
5,7,23,2
5,33,23,2
6,23,7,26,12,24,1
6,7,23,2
6,33,23,2
7,23,2
7,7,26,12,24,1
7,33,23,2
8,23,33,26,12,24,1
8,7,23,2
8,33,23,2
9,23,17,26,24,9,5
9,7,12,24,1
9,33,23,2
10,23,7,26,24,1
10,7,26,8,9,5
10,33,23,4,2
11,23,17,7,26,24,9,5
11,7,26,24,9,5
11,33,23,2
12,23,32,2
12,7,17,23,32,2
12,33,23,32,2
13,23,12,24,9,1
13,7,17,23,2
13,33,23,2
14,23,4,2
14,7,24,9,5
14,33,17,7,24,9,5
15,23,7,26,9,5
15,7,26,9,1
15,33,23,4,2
16,23,7,26,9,1
16,7,26,9,1
16,33,4,2
17,23,4,2
17,7,26,9,1,5
17,33,23,7,26,9,1,5
18,23,7,26,9,1
18,7,26,9,1
18,33,17,23,7,26,9,1,5
19,23,7,26,9,1,5
19,7,26,9,1,5
19,33,17,23,7,26,9,1
20,23,26,9,1,5
20,7,16,12,2
20,33,17,23,26,9,1
21,23,7,26,9,1,5
21,7,26,9,1,5
21,33,17,23,7,26,9,1,5
22,23,7,26,1,5
22,7,26,1
22,33,17,23,7,26,1
23,23,16,12,2
23,7,26,1
23,33,17,23,7,26,1,5
24,23,7,26,1,5
24,7,26,1
24,33,30,4,2
25,23,27,7,26,1,5
25,7,26,1,5
25,33,17,23,27,7,26,1,5
26,23,17,30,4,2
26,7,26,1,5
26,33,30,4,2
27,23,27,7,26,1,5
27,7,26,1
27,33,17,8,29,9,0
28,23,17,30,4
28,7,26,5
28,33,30,4
29,23,17,30,4
29,7,26,5
29,33,17,30,4
30,23,27,28,16,24,12,2
30,7,28,16,24,12,2
30,33,30,4,2
