1,9,1
1,8,22,15,3,0,24,5
1,28,25,9,1
1,22,8,25,9,2
1,27,10,22,15,3,0
1,18,9,2
1,15,22,8,25,9,2
1,20,1
1,30,19,31,5
1,34,19,31,5,24,0
1,26,34,19,31,5
1,29,30,32,27,2
1,31,5,24,0
1,32,19,31,5
1,13,15,3,0,24,5
1,17,30,19,31,5
1,7,4,26,34,19,31,5,24,0
1,24,5
1,19,31,5,24,0
1,16,1
1,21,25,27,32,30,17,34,26,4
1,11,1
1,10,32,30,17,34,26,4
1,35,14,26,4
1,14,6,19,31,5,24,0
1,33,13,15,3
1,23,14,26,4
1,12,23,14,26,4
1,6,19,31,5,24,0
1,25,27,32,30,17,34,26,4
2,18,9,2
2,26,14,6,19,31,5
2,7,4,26,14,6,19,31,24,0
2,30,19,31,5
2,13,33,8,25,9,2
2,25,9,2
2,35,6,19,32,27,25,9,2
2,29,30,32,27,25,1
2,34,6,19,31,5
2,8,22,15,3,0
2,19,31,24,0
2,31,24,0
2,27,32,10,22,15,3,0
2,16,1
2,10,22,15,3,0
2,15,3,0,24,5
2,33,13,15,3
2,20,2
2,22,15,3
2,28,25,1
2,11,1
2,21,33,13,15,3
2,17,30,19,31,5
2,12,23,14,26,4
2,23,14,26,4
2,6,19,31,5
2,9,1
2,32,19,31,5
2,14,6,19,31,24,0
2,24,5
3,11,2
3,26,4
3,18,9,1
3,19,31,5
3,27,32,10,22,15,3,0,24,5
3,33,15,3,0
3,20,1
3,35,6,34,17,30,27,25,1
3,9,1
3,15,33,8,28,25,9,2
3,10,32,30,17,26,4
3,21,18,9,2
3,22,15,3,0,24,5
3,30,17,26,4
3,8,33,15,3,0
3,29,30,27,25,9,2
3,25,28,33,15,3,0
3,28,33,15,3
3,13,3
3,14,26,4
3,6,19,31,5
3,16,1
3,12,35,14,26,4
3,23,14,26,4
3,32,30,17,26,4
3,24,5
3,34,6,19,31,24,0
3,7,4
3,17,34,6,19,31,5
3,31,5
4,25,28,33,15,3,0,24,5
4,17,26,4
4,10,22,24,5
4,19,6,29,30,27,25,16,2
4,22,33,8,28,21,18,1
4,21,18,11,2
4,34,26,4
4,29,30,27,25,1
4,24,0
4,33,15,3,0,24,5
4,7,4
4,28,21,18,11,2
4,23,14,26,4
4,9,2
4,14,26,4
4,27,32,10,22,13,3,0
4,31,5
4,8,33,15,3,0
4,6,35,14,26,4
4,18,1
4,30,32,10,22,13,3,0
4,32,10,22,24,5
4,12,35,6,19,10,22,24,5
4,11,1
4,16,1
4,26,4
4,20,1
4,15,33,8,28,21,18,11,2
4,13,3
4,35,6,29,30,27,25,16,2
