1,11,4,23,5
1,28,33,24,15,9,0,1
1,13,34,27,14,12,1
2,11,4,23,5
2,28,26,5
2,13,34,27,14,12,1
3,11,4,23,5
3,28,26,5
3,13,34,27,14,12,1
4,11,4,23,5
4,28,19,0,1
4,13,34,27,14,12,1
5,11,4,23,5
5,28,7,19,2
5,13,34,27,12,1
6,11,4,23,5
6,28,7,19,9,2
6,13,34,22,12,1
7,11,4,23,5
7,28,26,5
7,13,34,22,12,1
8,11,4,23,5
8,28,26,5
8,13,34,22,12,1
9,11,25,4,23,5
9,28,35,5
9,13,34,22,14,12,1
10,11,25,4,23,5
10,28,7,19,2
10,13,34,22,14,12,1
11,11,25,4,23,5
11,28,7,19,0,1
11,13,34,22,14,1
12,11,25,4,23,5
12,28,26,5
12,13,34,22,12,1
13,11,25,4,23,5
13,28,33,26,5
13,13,34,22,12,0
14,11,25,4,23,5
14,28,31,35,5
14,13,34,22,27,1
15,11,25,4,23,5
15,28,7,19,0,1
15,13,34,22,12,0
16,11,25,4,23,5
16,28,31,35,5
16,13,-2,
17,11,25,4,23,5
17,28,7,9,2
17,13,-2,
18,11,25,4,23,5
18,28,16,9,2
18,13,-2,
19,11,25,4,23,5
19,28,29,31,35,5
19,13,-2,
20,11,25,4,23,5
20,28,16,8,0,1
20,13,-2,
21,11,25,4,23,5
21,28,16,8,2
21,13,-2,
22,11,25,4,5
22,28,31,35,5
22,13,-2,
23,11,25,4,5
23,28,29,31,35,5
23,13,-2,
24,11,25,4,5
24,28,12,19,0,2
24,13,-2,
25,11,25,4,5
25,28,12,19,0,2
25,13,-2,
26,11,25,4,5
26,28,12,19,0,2
26,13,-2,
27,11,25,4,5
27,28,18,31,35,5
27,13,-2,
28,11,25,4,5
28,28,29,31,35,4,5
28,13,-2,
29,11,25,4,5
29,28,18,31,35,4,5
29,13,-2,
30,11,25,4,5
30,28,18,31,35,4,5
30,13,-2,
