1,22,8,1
1,23,32,24,5
1,21,9,33,4,5
2,22,8,1
2,23,14,31,0
2,21,26,33,4,5
3,22,8,1
3,23,32,19,20,3,4,5
3,21,26,33,4,5
4,22,8,1
4,23,14,31,0
4,21,26,11,4,5
5,22,8,1,34,0
5,23,32,19,20,3,11,4,5
5,21,26,11,4,5
6,22,8,1,34,0
6,23,32,19,20,3,11,4,5
6,21,20,19,32,23,14,6,12,0
7,22,8,1
7,23,14,31,0
7,21,26,33,11,4,5
8,22,8,1,34,0
8,23,14,31,1
8,21,20,19,17,23,14,6,12,0
9,22,8,1,34,0
9,23,14,6,12,0
9,21,20,19,17,23,14,6,12,0
10,22,8,1
10,23,17,19,20,3,11,4,5
10,21,20,19,17,23,14,31,1
11,22,8,1,31,0
11,23,32,17,19,20,3,11,4,5
11,21,20,19,17,32,14,6,12,0
12,22,8,7,1,31,0
12,23,14,15,6,12,0,31,1
12,21,20,19,17,32,14,15,6,12,0
13,22,8,7,1
13,23,17,19,20,3,11,4,5
13,21,20,19,17,32,14,15,6,12,0
14,22,8,7,1,31,0
14,23,14,15,6,12,31,1
14,21,3,11,4,5
15,22,7,1
15,23,17,19,20,3,11,4,5
15,21,3,11,4,5
16,22,7,1,31,0
16,23,31,1
16,21,3,11,4,5
17,22,1,31,0
17,23,31,1
17,21,3,11,4,5
18,22,1,31,0
18,23,17,20,11,4,5
18,21,3,11,4,5
19,22,7,1
19,23,31,1
19,21,3,20,17,32,14,15,6,0
20,22,1
20,23,17,20,11,5
20,21,3,20,17,32,14,15,6,0
21,22,7,1,31,0
21,23,17,20,11,5
21,21,3,20,17,32,14,15,6,0
22,22,1
22,23,31,0
22,21,3
23,22,1,31,0
23,23,31,0
23,21,3,11,5
24,22,1
24,23,31,0
24,21,3,11,5
25,22,1,31,0
25,23,31,0
25,21,3,20,17,23,1
26,22,1,31,0
26,23,17,20,11,5
26,21,3
27,22,1,31,12,0
27,23,32,17,20,5
27,21,3
28,22,1,31,12,0
28,23,32,17,20,11,5
28,21,3
29,22,1
29,23,32,27,2
29,21,3
30,22,1,31,12,0
30,23,7,31,12,0
30,21,3
